id,Title,Content,"Timeline Dates","Include Video","Video URL","YT or Vimeo?","Video Synposis","Include Document","Document Synopsis",Document,"Resource Categories","Video Contributors","Document Contributors",Order,"Image Featured"
59,"Ace Ventura: When Nature Calls (1995)",,"1143 BC",1,https://vimeo.com/66788867URL,Vimeo,"MY VIDEO SYNOPSIS DETAILS",,,,Biblical|History,"John Smith|Mason Kinsella",,16,
586,"Toy Story (1995)",,90,1,https://vimeo.com/30672,Vimeo,"You already know the big scenes will be awe-inspiring in “A Beautiful Planet” — how can your eyes not bug out when given 3-D views of Earth, taken from space, on a stories-high Imax screen? What’s surprising is how enjoyable the small moments are in this documentary, filmed aboard the International Space Station. Directed by Toni Myers and made in cooperation with NASA, most of “A Beautiful Planet” was shot by astronauts while on monthslong space missions. From the space station they carried out research and space-walked to make needed repairs. And through it all, they took videos of our planet. To see vast oceans, immense deserts and mountain ranges from so high up is both humbling and inspiring. And scenes of mighty lightning storms, the aurora borealis and cities illuminated at night are magnificent. Just as fun is observing the astronauts as they handle seemingly simple tasks while weightless. A crew member floating as she sleeps looks supernatural; seeing another getting in and out of his spacesuit has a Marx Brothers-like quality. And I can say without reservation that I’ve never been so fascinated by watching a man shampoo his hair. Ms. Myers is an efficient director and editor, though her script could have used a few more of those personal moments to prevent viewer fatigue that may set in after the succession of huge images. Additional specifics on the missions and the science would also have been helpful. Still, this film, which is smoothly narrated by Jennifer Lawrence, finds a nice balance: It’s appealing to adults and accessible to younger viewers. And it delivers an environmental message that is strong and serious while remaining encouraging and optimistic. That’s important to hear. The rest is just amazing to watch.",1,,,"Modernity|Old testament|Timothy","Fred Jones|John Smith|Mason Kinsella|Robert Forestone",,254,https://mb.stjohnstimeline.co.uk/wp-content/uploads/2018/09/21017637_100x75.jpg
588,"Jumanji (1995)",,"1215-1469 BC",1,https://vimeo.com/38356,Vimeo,"The cinema of seduction doesn’t get much more overheated than “A Bigger Splash,” an Italian come-on that doesn’t just want to amuse you, but also to pour you a Negroni before taking you for a midnight spin with the top down. Set on an Italian island slithering with snakes and beautiful people, the movie is something of a reluctant thriller about a rock star, her current lover, her former lover and a pretty young thing. Bad things happen, because, you know, life is pain — in the meantime, though, do enjoy the magnificent digs, the designer threads and the frolicking nude stars. The last time the director Luca Guadagnino trained his sights on Tilda Swinton, she was suffering under the Milanese sun in “I Am Love,” playing an unhappy wife fluttering in a gilded cage. This time, Ms. Swinton plays a rock star, Marianne Lane, who shortly after “A Bigger Splash” opens, is sunbathing au naturel next to a pool, as her lover, Paul (Matthias Schoenaerts), dozes nearby. They’re a delectable pair of sexy beasts, ensconced on a jaw-slackening compound on Pantelleria, a volcanic island in the strait of Sicily that’s within viewing distance of Tunisia. Marianne has recently had career-lengthening throat surgery, a procedure that’s rendered her near-speechless. With her preternatural stillness and sculptured hauteur, Ms. Swinton has always looked ready for her close-up with D. W. Griffith; few contemporary movie actresses can hold you with their gaze as effortlessly as she does. Marianne’s radio silence is a storytelling contrivance (for personal reasons, Ms. Swinton agreed to appear in the movie if she didn’t speak), but it adds to the character’s celebrity aura and deepens the sense of isolation conveyed by the location. And while Marianne whispers when she feels like it, her relative silence works both for Ms. Swinton — it draws you closer to her — and for Mr. Guadagnino, a voluptuary who revels in the surface beauty of the natural and unnatural worlds. Marianne and Paul’s private bliss-out is disrupted by the unexpected arrival of an old friend, a music producer, Harry (a sensational Ralph Fiennes), a motormouth who roars in with his daughter, Penelope (Dakota Johnson). She’s recently learned that Harry is her father and now, for reasons that thicken the mystery, he has dragged her to Pantelleria without a hotel reservation, which is how they end up crashing at Marianne and Paul’s hideaway. There, with icy and warm chatter flowing on rivers of booze, the characters circle one another as Mr. Guadagnino, working from David Kajganich’s script, fills in the background with wayward looks, wanton caresses and flashbacks. “A Bigger Splash” is based on Jacques Deray’s 1969 film “La Piscine” (“The Swimming Pool”), one of those idle-rich soaps in which trouble pulls up in a Maserati. A few years ago, the luxury-goods company Christian Dior recycled images of that film’s heartthrob attraction, Alain Delon, in an ad campaign for its cologne Eau Sauvage that used the Rolling Stones’ “Sympathy for the Devil.” The playlist for “A Bigger Splash” includes a couple of Stones songs as well, notably “Emotional Rescue,” which is in rotation with Harry Nilsson, Giuseppe Verdi, 1970s Brazilian classics and Hollywood’s eternal bad boy Robert Mitchum murdering the calypso ditty “Beauty Is Only Skin Deep.” Mr. Guadagnino, in other words, knows how to decorate a movie, from Marianne’s manicured head to Penelope’s perfectly photographed bellybutton. Every fetishized element — the glorious house, the tiled pool, Marianne’s Dior outfits and the scrubbiest of vistas — looks ravishing, ready for a close-up, too. The world that Mr. Guadagnino creates is at once seductive and aspirational, and another reminder that movies have always excelled at stoking consumer desires. Much like Nancy Meyers (“The Intern”), Mr. Guadagnino excels at creating lifestyle pornography of an especially rarefied kind, although in classic European style, he gilds the pleasure with some political guilt. Not too much, mind you, just enough to give the whole thing a patina of seriousness. Much like the faded hammer-and-sickle tattoo embellishing Harry’s oft-bared chest, the movie’s politics come across as self-consciously ornamental. At times, as with the topical references to refugees (a few of whom are seen huddled in detention), these glimpses of the larger, agonizing world are clearly meant to say something about the characters and their insularity. Mr. Guadagnino may be actually trying to assuage his conscience (or ours), as if to do penance for all this careless opulence. Yet these moments register as ritualistic at best, opportunistic at worst, and you wish he wouldn’t even bother. Consciously or not, Mr. Guadagnino makes a more convincing political case when he just lets his characters meander and do what they do best, which is living idly, fabulously. You could read an entire history of civilization and capitalism in how Marianne drapes her legs across a lounger or strides into a humble Italian home to sample some homemade ricotta. Ms. Swinton conveys casual entitlement like someone to the manner born, which gives Marianne’s teasing exchanges with Harry an increasingly discomfiting quality. Harry has come to the island for something he feverishly wants and believes he needs. He’s a man on a desperate mission, one that Mr. Fiennes, with a wildly flapping mouth and manic limbs, turns into a raw, indelible portrait of loss. “A Bigger Splash” is rated R (under 17 requires accompanying parent or adult guardian). Adults behaving like adults, only naughtier and far nastier. Running time: 2 hours 4 minutes.",1,,,Biblical|Judges|Revelation,"Mason Kinsella|Robert Forestone",,27,https://mb.stjohnstimeline.co.uk/wp-content/uploads/2018/09/45895438_100x75.jpg
590,"Grumpier Old Men (1995)",,"503 BC",1,https://vimeo.com/72240,Vimeo,"It takes an actor with the finesse of Tom Hanks to turn a story of confusion, perplexity, frustration and panic into an agreeably uncomfortable comedy. But that’s what Mr. Hanks accomplishes in the German filmmaker Tom Tykwer’s easygoing screen adaptation of Dave Eggers’s novel “A Hologram for the King.” This fanciful tale about Alan Clay, an American consultant visiting Saudi Arabia to sell a holographic teleconferencing system to the Saudi government, has been transformed through the force of Mr. Hanks’s nice-guy personality. His performance elevates an ominous, downbeat reflection on American decline and runaway technology into a subdued absurdist farce with dark geopolitical undercurrents. The movie is set in 2010, when America was still reeling from the financial crisis and months before the beginning of the Arab Spring uprisings that eventually transformed much of the Middle East into a grisly battleground. In the surreal opening scene, Alan walks down a suburban street, loudly singing the Talking Heads song “Once in a Lifetime,” whose narrator asks you to imagine losing your house and your wife. All at once, we have landed in Jeddah, Saudi Arabia, in a topsy-turvy world of technological disruption and hierarchal imbalance. Alan is in a wretched state when he arrives. Broke, depressed, newly divorced and desperate to regain his financial footing, he is acutely aware that his entire future depends on the successful completion of a deal involving the sale of a miraculous invention that suggests the modern equivalent of Aladdin’s magic lamp. Later in the movie, we see a brief, underwhelming demonstration of its wonders. From the moment Alan lands, he encounters humiliating obstacles. The king, he is told, is away but is expected back very soon. But the days drag on, and the lives of Alan and the three-person I.T. support team that preceded him become a Beckettian waiting game. Instead of a modern hotel, Alan finds his assistants languishing in a sweltering tent without air-conditioning or Wi-Fi in the King’s Metropolis of Economy and Trade, a fictionalized version of King Abdullah Economic City. This metropolis, still under construction, consists of mostly empty skyscrapers. The scenes in which he wanders through this desolate ghost city, which seems in a state of suspension, are among the film’s strongest. Jet-lagged and sleep-deprived, Alan tries in vain to find his bearings, while obsessing about a strange lump on his back that he unsuccessfully tries to remove. His tentative surgery on himself leads him to consult Zahra Hakem (Sarita Choudhury, from “Homeland”), a Saudi doctor with whom he develops an unlikely romantic connection. A screen adaptation of “A Hologram for the King” could have taken any of several approaches. It could have been a satire of American provincialism and culture clash in a tech-dependent world, with Alan portrayed as a bumbling, overconfident fool living in the past. But Mr. Hanks’s embodiment of an unflappably positive, if frustrated, American Everyman, who refuses to give up or to surrender his can-do attitude, grounds the movie. Somehow, you suspect, his situation will be resolved by good old-fashioned American know-how. Alan becomes infuriated but never enraged. Confronting disaster, he grits his teeth and puts on an optimistic face. Mr. Hanks, in his best clownish mode, scrunches his features into all manner of amusing grimaces. But even when Alan is on the brink of nervous exhaustion, you trust him to find the answers. The movie’s weaker scenes try to fill in his background and family history with flashbacks, in which we meet his ex-wife and daughter, whose college tuition he can’t afford. His father (Tom Skerritt) bitterly deplores the outsourcing of American jobs to other countries. As a former executive for the Schwinn Bicycle Company, Alan, we learn, once shipped jobs abroad. Much of “A Hologram for the King” feels like science fiction. We’re familiar with pictures of the futuristic towers of Dubai, flickering in the heat. But this partly constructed ghost town in the middle of a desert suggests an outpost in a different galaxy, where Alan and his team resemble a befuddled, less confident Captain Kirk and his crew waiting for the aliens to reveal themselves. Alan’s guide on this faraway planet is Yousef (Alexander Black), a goofy, oddly paranoid taxi driver who is obsessed with loud American rock music. Their scenes come the closest to traditional comedy. “A Hologram for the King” ponders a modern world in the thrall of illusions. Of what essential use is a holographic teleconferencing system, we are never told. In their semireality, the King’s Metropolis of Economy and Trade and the ghostly holograms Alan is selling might just as well be a desert mirage. “A Hologram for the King” is rated R (Under 17 requires accompanying parent or adult guardian) for some sexuality and nudity, strong language and brief drug use. Running time: 1 hour 37 minutes.",1,,,"Modernity|New testament|Old testament|Revelation|Timothy","Fred Jones|Graham Fletcher|John Smith",,169,https://mb.stjohnstimeline.co.uk/wp-content/uploads/2018/09/46256965_100x75.jpg
592,"Waiting to Exhale (1995)",,78,1,https://vimeo.com/77426,Vimeo,"The trailer for “Baaghi” has a body-count ticker — a winking boast about the movie’s martial spirit — that tops out at 114. And though I didn’t tally ’em up, it’s true that body after expendable body is thwacked, pummeled and left for dead in “Baaghi,” as our hero, Ronny, fights his way to … well, to what exactly? Early in “Baaghi,” a Bollywood action movie with the usual grab bag of romance, comedy and drama, Ronny (Tiger Shroff, son of the ’80s star Jackie Shroff) shows up at a martial arts academy in Kerala. On the train ride there he finds a girl, Sia (Shraddha Kapoor), and at the academy he finds a guru. Ronny, we’re told in words and song, is a rebel, though really he’s just young, cocky and clueless, a sweet-faced muscle boy. Almost accidentally (the guru has stealth methods), Ronny grows into a disciplined fighter. For no particular reason, we’re still meant to consider him a rebel and, to up the ante, a modern-day Rama, hero of the Indian epic “The Ramayana.” After making clear this link to “The Ramayana” about midway through the movie, the filmmakers Sabbir Khan (director) and Sanjeev Dutta (writer) proceed to draw it out: Sia is Sita (Rama’s wife), and she’s kidnapped not once but twice — to be kidnapped once is misfortune; twice looks like carelessness (in this case, the writer’s) — by the demonic Raghav, who brings her to Bangkok, where a blind taxi driver tells us that he’s the story’s Hanuman, the trickster monkey god. But because the filmmakers have given their characters labels (rebel, guru, villain) instead of personalities, the movie’s bid for epic resonance feels particularly hollow. Ronny may just be some guy with a grudge (and flying fists and feet), but surely Rama is something more. At least Ronny has a gimmick; Sia/Sita is a blank, the love interest, full stop. Her outstanding feature is that she likes rain. Mostly “Baaghi” is a fight movie, and a slightly dull one at that, overstuffed with boom-boom set pieces. (Its action sequences have been accused of resembling too closely the Indonesian movie “The Raid: Redemption.”) And while Mr. Shroff moves well — he bounces balletically off walls to deliver knockout kicks and dances with loose-hipped grace — he never makes you care about the rebel Ronny who would be king. “Baaghi” is not rated. It is in Hindi, with English subtitles. Running time: 2 hours 30 minutes.",1,,,"Biblical|Judges|Old testament|Timothy","Fred Jones|Robert Forestone",,230,https://mb.stjohnstimeline.co.uk/wp-content/uploads/2018/09/21000177_100x75.jpg
594,"Father of the Bride Part II (1995)",,611-851,1,https://vimeo.com/78590,Vimeo,"The streets of Philadelphia are a romantic hunting ground for the four main characters in “Beautiful Something,” Joseph Graham’s bleak, agonized study of gay men looking for connection. Brian (Brian Sheppard) is a poet seeking more than a quick hookup. The infuriatingly bratty Jim (Zack Ryan), an aspiring actor, is the live-in boyfriend of Drew (Colman Domingo), an older world-famous metal sculptor who adores him. But Jim is so jealous of Drew’s devotion to art that he feels neglected and threatens to move out. Bob (John Lescault) is a rich, sleazy Hollywood talent agent in his mid-60s who cruises around in a white limousine looking to pay for sex. Why he’s in Philadelphia, of all cities, is never explained. The gay street scene depicted in the movie feels more like the 1970s than now, and the film’s dominant mood is one of feverish desperation and hunger. Lessons are learned, but the movie is in dire need of character development and a wider social context.",1,,,"Biblical|History|Old testament","Mason Kinsella|Paul Arnold",,193,https://mb.stjohnstimeline.co.uk/wp-content/uploads/2018/09/46341944_100x75.jpg
596,"Heat (1995)",,225-345,1,https://vimeo.com/channels/staffpicks/82476,Vimeo,"In “Being Charlie,” the director Rob Reiner breaks out of his sentimental sitcom mode to focus on the angst of a rich, entitled Los Angeles family. The title character, Charlie Mills (Nick Robinson), is its spoiled golden boy, a surly drug-addicted brat we first meet on his 18th birthday as he abandons the latest in a series of rehab institutions. This sour apple hasn’t fallen far from the tree. Charlie’s father, David (Cary Elwes), is a stunningly fatuous candidate for California governor who made his fortune as the star of a blockbuster Hollywood franchise about pirates. With his slicked blond hair and cold, arrogant sneer, this politician-come-lately is an empty suit robotically shaking hands while spewing inane platitudes at meet-and-greets. He has a fractious relationship with his tense, neurotic wife, Liseanne (Susan Misner). “Being Charlie” has a strong autobiographical component. According to the production notes, Nick Reiner (the director’s son) wrote the screenplay with Matt Elisofon, whom he met in rehab. Charlie, like Mr. Elisofon, is an aspiring stand-up comedian. And the brief scenes of Charlie on the stage reveal him to be a brash show-off with at least a modicum of talent. Let’s assume that Rob Reiner made a movie peopled with disagreeable characters to transcend the feel-good clichés of the nostalgic family entertainments for which he’s known with a more realistic film about contemporary issues. But the movie’s refusal to abandon commercial formulas and examine its characters’ inner lives suggests that the director’s years inside the Hollywood bubble may have prevented him from recognizing the degree to which independent films and television are already overrun with deeper, more sensitive explorations of addiction and recovery. When Charlie inevitably relapses and trolls Los Angeles’s meaner streets for a fix, you feel little sympathy for a character so shallow he seems incapable of introspection. Father-son confrontations and tough-love warnings from a rehab counselor (played by Common) are little more than boilerplate harangues. The movie’s first of many mistakes is to throw in a girlfriend from rehab, Eva (Morgan Saylor), with whom Charlie flouts rules that discourage romantic relationships among patients. Although Ms. Saylor brings some personality to her turbulent, unfocused character, you have the queasy sense that somebody decided the movie needed a pretty woman to give it some juice. But soon enough, “Being Charlie” forgets about Eva to concentrate on Charlie’s gruesome relapse on the eve of the governor’s election, and David’s having to cope with the negative publicity about his son’s behavior. It takes a drug-related tragedy to bring Charlie to his senses. The perfunctory upbeat ending leaves you unconvinced that worst is over. “Being Charlie” is not rated. Running time: 1 hour 37 minutes.",1,,,"Biblical|History|Old testament","Paul Arnold",,119,https://mb.stjohnstimeline.co.uk/wp-content/uploads/2018/09/21022399_100x75.jpg
598,"Sabrina (1995)",,162,1,https://vimeo.com/94970,Vimeo,"“Bourek,” which takes its title from a flaky Mediterranean pastry, is described in the publicity notes, somewhat optimistically, as a comedy. Viewers, however, are unlikely to be more than marginally amused by its fair-to-middling acting, enervated plot and forcibly diverse group of drifting souls gathered on the fictional Greek island of Khronos. That island, though, is languidly pretty, photographed in tones of butterscotch and cerulean by the Serbian cinematographer Vladimir Subotic (a regular collaborator of the writer and director, Vladan Nikolic). In this burnished idyll, assorted characters bicker and lounge against a backdrop of news reports heralding social and financial catastrophe. An American billionaire (William Leroy) hunkers with his money and his gold-digging honey, waiting for the apocalypse promised by a white-suited televangelist (gustily played by Paul Sevigny, Chloë Sevigny’s brother). A radiant Greek woman (Katerina Misichroni) struggles to protect her debt-squeezed restaurant from a pushy developer while caring for an amnesiac British D.J. Around them, a flotsam of idiosyncratic travelers — a Yeats-quoting Libyan refugee; a Turkish drug dealer-cum-baker — ebbs and flows, saddled with naïvely hackneyed dialogue and a director who seems to be entertaining only himself. Yet Mr. Nikolic, whose 2015 feature “Allure” had an engaging originality that this movie lacks, has a talent for conjuring wistful disillusion among those buffeted by the winds of capitalism and change. When faced with disaster, he seems to be saying, go back to first principles: Eat, dance, fool around. And steal as much money as you can.",1,,,Judges|Modernity,"John Smith|Robert Forestone",,70,https://mb.stjohnstimeline.co.uk/wp-content/uploads/2018/09/46552917_100x75.jpg
600,"Tom and Huck (1995)",,"1250-1436 BC",1,https://vimeo.com/99317,Vimeo,"If you release a movie called “Captain America: Civil War” to an ideologically polarized nation in the midst of a notably contentious presidential campaign, you can expect to reap a whirlwind of think pieces. In spite of occasional public scolding about the rampant misuse of allegorical interpretation, hard-pressed, click-seeking cultural journalists and political pundits can be counted on to take up the hard work of finding echoes, resonances and subtexts in a big pop-cultural pseudo-event. If you hybridized Donald J. Trump and Elon Musk, would you get Tony Stark? Would Captain America’s endorsement have made a difference for John Kasich? Is Ant-Man a Bernie Bro? I hate to disappoint, but I have to say that I’m not really feeling it. The cues are there, of course. An aura of vaguely topical importance is as vital to a superhero-franchise movie as a merchandising deal. So “Civil War” pauses for a few moments of chin-scratching and speechifying about whether a group of genetically advantaged, highly weaponized individuals should be brought under the supervision of the United Nations. More seriously — because, come on now, do you really think Captain America is going to put on a blue U.N. helmet? — the film glances at some of the moral complexities of modern warfare. The designated good guys are responsible for the deaths of innocents, and the question of their accountability hovers over the movie and sets its plot in motion. But this very crowded, reasonably enjoyable installment in the Avengers cycle — written by Christopher Markus and Stephen McFeely and directed by Joe and Anthony Russo — reveals, even more than its predecessors, an essential truth about the Marvel Cinematic Universe. It’s not so much a grand science-fiction saga, or even a series of action-adventure movies, as a very expensive, perpetually renewed workplace sitcom. New characters are added as the seasons wear on. Cast members are replaced. The thing gets a little baroque and tests the boundaries of coherence, but we keep showing up because it can be pleasant, in a no-pressure, low-key kind of way, to hang out with these people as they banter and squabble and get the job done. Sometimes you want to go where everybody knows both your street name and your nom de cape. (And yes, thank you, I’m perfectly aware that these Marvel superheroes don’t wear capes.) In this episode, based on a run of comics written by Mark Millar, some of the usual crowd is missing. No Hulk. No Thor. No Nick Fury. The newcomers include Black Panther (Chadwick Boseman), whose first solo adventure is prophesied during the final credits, and a very young Spider-Man (Tom Holland), whose solo adventures are the property of a different movie studio. Do you need a list of the rest of them? There are a lot, and my space is limited. The headliners are Cap (Chris Evans, of course) and Iron Man (Robert Downey Jr., of course), and most of the others you hope will show up for at least a brisk punch-up, a bout of soul-searching or a self-conscious joke or two. “Captain America: Civil War” is like the last number at a big benefit concert, when a mob of pop stars squeezes onto the stage to sing “This Land Is Your Land,” or whatever. Some performers sing a whole verse. Others shake maracas for the cause and stare off into the middle distance. Scarlett Johansson is on board. Also Anthony Mackie, Don Cheadle, Paul Rudd, Elizabeth Olsen and so many more. You can go ahead and match them with their superhero identities and civilian alter egos. I’m not here to do your homework for you. The Russo brothers, whose résumés include “Arrested Development” as well as “Captain America: The Winter Soldier,” are better at dialogue than at action. The early chases and fights are hectic, stroboscopic messes, evidence less of the innovative power of digital effects than of the creative fatigue they can induce. It’s difficult to see exactly what’s going on, but you’ve seen it before anyway, so it hardly matters. People and vehicles are tossed around. Buildings blow up. Glass shatters. It all serves a cumbersome and not very original narrative. As in “Batman v Superman,” a dude with a grudge (Daniel Brühl) is determined to set the superheroes against one another. To call the fighting that ensues a civil war seems a bit grandiose, though. A more honest title would have been “Captain America: Collegial Misunderstanding” or “Captain America: Intramural Pickup Game.” The differences of opinion and temperament that cleave the Avengers — it comes down to Iron Man’s arrogance versus the Captain’s stubborn rectitude — provide a pretext for a few sequences of brawling and yelling that are actually kind of exciting to watch. The best part of the movie is a six-on-six rumble at an airport, in which two teams of costumed co-workers, with a few ringers in the mix, face off to work out their issues. The battle is entertaining precisely because the stakes are relatively low. No planets, cities or galaxies are in peril, and you can enjoy the spectacle without any of the usual action-movie queasiness about invisible and extensive civilian casualties. (Someone will have to clean up the mess, of course, but that just means overtime for the maintenance workers, who may even be unionized). And there is a solid, satisfying physicality to the effects. That’s true of the climactic mano a mano as well, though the mood is grimmer and the sense of personal grievance more intense. “Captain America: Civil War” does not in any way transcend the conventions of the genre. On the contrary: It succeeds because it doesn’t really try. The dialogue is peppered with movie and pop-cultural references — at one point, Spider-Man draws inspiration from “a really old movie” called “The Empire Strikes Back” — and there is even a sly joke about the proliferation of “enhanced” battlers of evil and world-threatening events. The movie seems aware that it risks wearing out its welcome, which would be disastrous, given that Marvel and Disney have already locked in release dates into the next decade. Tune in next time? Sure, why not. It’s a job somebody has to do. “Captain America: Civil War” is rated PG-13 (Parents strongly cautioned). A little more swearing and a lot less killing than you might expect.  Running time: 2 hours 27 minutes.",1,,,"Modernity|New testament|Timothy","Graham Fletcher|Mason Kinsella|Robert Forestone",,30,https://mb.stjohnstimeline.co.uk/wp-content/uploads/2018/09/21008162_100x75.jpg
602,"Sudden Death (1995)",,446,1,https://vimeo.com/108914,Vimeo,"“Compadres” tries to be a lighthearted cross-border buddy film, and sometimes it succeeds. But consistency is a problem — it doesn’t hit those humorous high notes often enough, and when it’s not in the comedic groove, it’s muddy. Omar Chaparro plays Garza, a Mexican police officer whose reckless style and contempt for authority soon make him a former Mexican police officer. Finding redemption means tracking down some crime syndicate loot that is already the subject of a dispute among rival thugs. Eventually Garza forms an alliance with a young American hacker (Joey Morgan) who played a small role in moving the hot money. Mr. Chaparro and Mr. Morgan trade obligatory insults on their way toward begrudging mutual respect, but they never quite find the buddy comfort zone attained by the best pairs in this genre. Some of the bad guys are amusing — one is inexplicably in clown makeup; another’s preferred weapon is a flamethrower. Eric Roberts turns up occasionally as an F.B.I. agent, but he’s never around long enough to make good use of his skills. There are laughs in this bilingual yarn, but the story grows convoluted, and Enrique Begne, the director, relies far too much on the stock cop-movie scene: heroes in a seemingly impossible fix, guns trained on them but no one firing. Ho-hum; here comes another miraculous escape.",1,,,"History|Judges|Modernity|Old testament","Fred Jones",,156,https://mb.stjohnstimeline.co.uk/wp-content/uploads/2018/09/46665205_100x75.jpg
